symbol	ensembl	entrez
KIR2DL3	ENSG00000276459	3804
KIR2DL3	ENSG00000277484	3804
FCAR	ENSG00000276858	2204
KIR3DL2	ENSG00000276424	3812
LILRP2	ENSG00000274861	79166
KIR2DL1	ENSG00000278248	3802
LILRP1	ENSG00000274339	NA
	ENSG00000280579	NA
KIR3DL1	ENSG00000276501	3811
KIR3DL1	ENSG00000273775	3811
	ENSG00000276970	NA
	ENSG00000275018	NA
	ENSG00000280708	NA
KIR3DL1	ENSG00000277272	3811
	ENSG00000281416	NA
PPIAL4F	ENSG00000275974	728945
LILRP1	ENSG00000277070	NA
KIR2DS5	ENSG00000276676	3810
	ENSG00000280460	NA
U1	ENSG00000274574	NA
RNVU1-26	ENSG00000273990	NA
KIR2DP1	ENSG00000277376	NA
RNVU1-2A	ENSG00000273757	6063
KIR2DS2	ENSG00000276258	100132285
KIR2DL5B	ENSG00000275946	553128
KIR2DL4	ENSG00000274189	3805
KIR3DL2	ENSG00000273735	3812
KIR2DL1	ENSG00000276820	3802
KIR3DL3	ENSG00000276433	115653
KIR2DS3	ENSG00000278306	3808
KIR3DL2	ENSG00000276357	3812
KIR2DL4	ENSG00000275732	3805
KIR3DL1	ENSG00000275717	3811
KIR3DL3	ENSG00000274696	115653
KIR2DS4	ENSG00000274807	3809
LILRP1	ENSG00000275112	NA
KIR3DP1	ENSG00000277742	NA
KIR2DS2	ENSG00000274518	100132285
	ENSG00000278360	NA
KIR2DS4	ENSG00000275938	3809
DNAH10	ENSG00000281935	196385
KIR2DS2	ENSG00000276139	100132285
	ENSG00000276013	NA
KIR2DL4	ENSG00000273575	3805
LILRP2	ENSG00000274120	79166
KIR2DL3	ENSG00000277317	3804
KIR2DL4	ENSG00000274945	3805
	ENSG00000276974	NA
LILRP1	ENSG00000278325	NA
KIR3DP1	ENSG00000277176	NA
KIR2DS2	ENSG00000276425	100132285
KIR3DL3	ENSG00000276930	115653
KIR2DS1	ENSG00000275421	3806
KIR3DL1	ENSG00000274146	3811
KIR3DL1	ENSG00000276329	3811
	ENSG00000277630	100288966
KIR3DL3	ENSG00000275172	115653
KIR3DP1	ENSG00000276518	NA
KIR2DS2	ENSG00000278152	100132285
KIR2DL1	ENSG00000274782	3802
KIR2DS4	ENSG00000274714	3809
KIR2DL3	ENSG00000273947	3804
	ENSG00000275422	NA
KIR2DS4	ENSG00000276885	3809
KIR2DP1	ENSG00000274851	NA
NCR1	ENSG00000277334	9437
KIR2DL4	ENSG00000276779	3805
KIR2DL2	ENSG00000275914	3803
KIR3DP1	ENSG00000273688	NA
LILRP1	ENSG00000277570	NA
KIR3DL1	ENSG00000275786	3811
	ENSG00000276306	NA
KIR2DL4	ENSG00000274955	3805
KIR2DS3	ENSG00000277193	3808
	ENSG00000277185	NA
KIR3DL1	ENSG00000275288	3811
KIR2DL5A	ENSG00000276392	57292
U6	ENSG00000278793	NA
KIR2DL4	ENSG00000275237	3805
LILRP2	ENSG00000276247	79166
KIR3DP1	ENSG00000276212	NA
KIR2DL1	ENSG00000278207	3802
KIR2DL4	ENSG00000276044	3805
LILRP1	ENSG00000276099	NA
LINC01839	ENSG00000281738	NA
KIR2DS5	ENSG00000274243	3810
KIR2DL2	ENSG00000273578	3803
LINC02054	ENSG00000281250	105374250
KIR2DL5B	ENSG00000278414	553128
KIR3DP1	ENSG00000278786	NA
CCDC92	ENSG00000275035	80212
KIR3DL3	ENSG00000274639	115653
KIR3DS1	ENSG00000276498	3813
KIR3DL1	ENSG00000274948	3811
KIR3DP1	ENSG00000278051	NA
KIR3DL3	ENSG00000274724	115653
KIR3DL2	ENSG00000278850	3812
KIR3DP1	ENSG00000277835	NA
KIR3DP1	ENSG00000276035	NA
NCR1	ENSG00000275521	9437
LILRP1	ENSG00000276001	NA
KIR2DL4	ENSG00000277964	3805
FCAR	ENSG00000276985	2204
KIR3DL1	ENSG00000276423	3811
KIR3DL2	ENSG00000278710	3812
U6	ENSG00000278625	NA
	ENSG00000262025	NA
	ENSG00000263275	NA
KIR2DL1	ENSG00000273510	3802
	ENSG00000262299	343052
	ENSG00000281954	NA
GEMIN2P1	ENSG00000262767	NA
KIR2DL4	ENSG00000275848	3805
U6	ENSG00000277551	NA
	ENSG00000275245	NA
GATAD2B	ENSG00000261992	57459
KIR2DS4	ENSG00000276154	3809
KIR2DL1	ENSG00000278755	3802
LILRP1	ENSG00000274545	NA
	ENSG00000275225	NA
KIR3DL3	ENSG00000278490	115653
KIR3DL1	ENSG00000278856	3811
LILRP2	ENSG00000277267	79166
KIR3DS1	ENSG00000276534	3813
OR9G4	ENSG00000262647	283189
OR5G3	ENSG00000281107	NA
	ENSG00000263130	NA
KIR2DS4	ENSG00000277078	3809
OR9G3P	ENSG00000262268	NA
OR5G1P	ENSG00000281313	NA
SLC27A3	ENSG00000263163	11000
KIR2DL3	ENSG00000274830	3804
KIR3DL1	ENSG00000275659	3811
KIR2DL2	ENSG00000277725	3803
OR5G4P	ENSG00000281279	NA
OR5G5P	ENSG00000262535	NA
KIR3DL2	ENSG00000274722	3812
KIR2DL3	ENSG00000276590	3804
KIR3DL2	ENSG00000276004	3812
	ENSG00000276197	NA
KIR3DL3	ENSG00000273502	115653
RNA5-8SN5	ENSG00000274917	100008587
5_8S_rRNA	ENSG00000273730	NA
	ENSG00000273937	NA
KIR2DL1	ENSG00000275750	3802
KIR2DS4	ENSG00000273526	3809
OR9G2P	ENSG00000281777	NA
KIR3DL2	ENSG00000278758	3812
OR9G1	ENSG00000261958	390174
KIR2DL4	ENSG00000277076	3805
KIR3DL3	ENSG00000275433	115653
KIR2DP1	ENSG00000273522	NA
	ENSG00000281683	NA
OR9G9	ENSG00000262191	504191
KIR3DL2	ENSG00000278726	3812
LINC02735	ENSG00000281839	101927120
FCAR	ENSG00000273738	2204
	ENSG00000278345	NA
KIR3DL3	ENSG00000276806	115653
LINC00254	ENSG00000282469	64735
KIR2DL1	ENSG00000275080	3802
HS3ST6	ENSG00000276333	64711
MEIOB	ENSG00000282650	254528
LINC02124	ENSG00000282069	105371048
	ENSG00000280271	NA
ZNF43	ENSG00000279566	7594
KIR2DS5	ENSG00000277650	3810
	ENSG00000279614	NA
KIR2DP1	ENSG00000278329	NA
KIR2DL3	ENSG00000276218	3804
KIR2DL2	ENSG00000273661	3803
ZNF100	ENSG00000274746	163227
KIR2DL3	ENSG00000274108	3804
KIR3DL2	ENSG00000278442	3812
KIR2DL4	ENSG00000277362	3805
LILRP1	ENSG00000274271	NA
KIR2DL5A	ENSG00000274676	57292
KIR2DL1	ENSG00000277356	3802
	ENSG00000262994	NA
LILRP2	ENSG00000275289	79166
	ENSG00000269823	NA
CCNYL6	ENSG00000279280	641367
	ENSG00000276999	NA
Y_RNA	ENSG00000262710	NA
BRI3BPP1	ENSG00000279112	641367
Y_RNA	ENSG00000262469	NA
Metazoa_SRP	ENSG00000276295	NA
KRTAP9-9	ENSG00000267728	81870
Metazoa_SRP	ENSG00000275531	NA
VN1R84P	ENSG00000280218	NA
LILRP1	ENSG00000273881	NA
KIR2DP1	ENSG00000275815	NA
MTDHP4	ENSG00000280066	NA
	ENSG00000277940	NA
KIR2DL3	ENSG00000278369	3804
KIR2DL3	ENSG00000278327	3804
KRTAP9-2	ENSG00000263090	83899
KRTAP9-4	ENSG00000262512	85280
KIR2DL3	ENSG00000273887	3804
KRTAP9-3	ENSG00000262749	83900
KRTAP9-10P	ENSG00000263103	NA
KIR3DL3	ENSG00000274480	115653
	ENSG00000267635	100507608
NCR1	ENSG00000276450	9437
	ENSG00000267208	NA
KRTAP9-2	ENSG00000262573	83899
FCAR	ENSG00000275136	2204
KRTAP9-10P	ENSG00000263115	NA
KRTAP29-1	ENSG00000262218	100533177
KRTAP9-4	ENSG00000262896	85280
KIR2DL5B	ENSG00000275436	553128
KRTAP9-6	ENSG00000263263	100507608
FCAR	ENSG00000275970	2204
KRTAP9-7	ENSG00000262221	100505724
KIR2DL4	ENSG00000274193	3805
U6	ENSG00000274708	NA
KRTAP29-1	ENSG00000262542	100533177
KRTAP9-12P	ENSG00000262214	NA
KRTAP9-11P	ENSG00000262946	NA
	ENSG00000275795	NA
KRTAP9-9	ENSG00000262594	81870
KIR2DL5B	ENSG00000275937	553128
KIR2DL5B	ENSG00000274707	553128
LILRP2	ENSG00000277963	79166
KIR2DS2	ENSG00000277885	100132285
KIR2DL2	ENSG00000276011	3803
U6	ENSG00000273929	NA
KIR3DL3	ENSG00000274556	115653
KIR3DL3	ENSG00000277552	115653
KIR2DL4	ENSG00000277750	3805
LILRP2	ENSG00000274788	79166
KIR2DS2	ENSG00000275452	100132285
KIR2DP1	ENSG00000274912	NA
KIR2DS4	ENSG00000276395	3809
KIR3DL2	ENSG00000278474	3812
KIR2DL1	ENSG00000276310	3802
KIR3DL3	ENSG00000274786	115653
KIR3DL1	ENSG00000274920	3811
KRT20	ENSG00000263057	54474
KIR2DL1	ENSG00000273794	3802
KIR2DL4	ENSG00000275456	3805
NCR1	ENSG00000278025	9437
KRTAP3-1	ENSG00000262068	83896
KIR3DP1	ENSG00000275887	NA
KRTAP3-2	ENSG00000263296	83897
KIR2DL2	ENSG00000275546	3803
KRTAP4-9	ENSG00000262121	100132386
KRTAP2-4	ENSG00000263091	85294
	ENSG00000264450	NA
KRT23	ENSG00000263309	25984
KIR2DP1	ENSG00000278339	NA
PIWIL1	ENSG00000275051	9271
KIR3DL1	ENSG00000278079	3811
KIR3DS1	ENSG00000274465	3813
	ENSG00000276808	NA
U6	ENSG00000278190	NA
KIR2DS4	ENSG00000274947	3809
LILRP2	ENSG00000276243	79166
KIR2DS4	ENSG00000276465	3809
SNTG2	ENSG00000281020	54221
	ENSG00000274082	NA
KIR3DL3	ENSG00000277392	115653
U6	ENSG00000275168	NA
FTCD	ENSG00000281775	10841
TPO	ENSG00000277603	7173
	ENSG00000278573	NA
KIR2DS4	ENSG00000276209	3809
	ENSG00000277196	102724788
LILRP2	ENSG00000278288	79166
KIR3DL2	ENSG00000278656	3812
KIR2DS1	ENSG00000273517	3806
KIR3DL3	ENSG00000277596	115653
KIR3DP1	ENSG00000274610	NA
	ENSG00000275059	NA
	ENSG00000276324	NA
LILRP1	ENSG00000277240	NA
IMPDH1P5	ENSG00000282534	NA
KIR2DP1	ENSG00000273955	NA
KIR2DS5	ENSG00000274563	3810
FCAR	ENSG00000275269	2204
U6	ENSG00000275021	NA
DLG5	ENSG00000274429	9231
U6	ENSG00000276552	NA
U6	ENSG00000278411	NA
	ENSG00000278833	NA
KRT40	ENSG00000262845	125115
KIR3DL2	ENSG00000275629	3812
KIR2DL4	ENSG00000277850	3805
KIR3DL1	ENSG00000278368	3811
	ENSG00000281753	NA
FTCD-AS1	ENSG00000280541	100861507
LSS	ENSG00000281289	4047
	ENSG00000278817	102724770
	ENSG00000276017	NA
ADI1	ENSG00000280830	55256
KRTAP1-1	ENSG00000262808	81851
TRAPPC12	ENSG00000274891	51112
	ENSG00000262731	728279
KIR3DL2	ENSG00000276882	3812
KRTAP4-11	ENSG00000263229	653240
	ENSG00000262487	NA
KRTAP2-5P	ENSG00000262376	NA
KRTAP1-3	ENSG00000262347	81850
KRTAP4-16	ENSG00000262520	NA
KRT12	ENSG00000263243	3859
U6	ENSG00000274771	NA
KRTAP1-5	ENSG00000261862	83895
	ENSG00000280770	NA
	ENSG00000281723	NA
KRT39	ENSG00000262164	390792
KRTAP3-4P	ENSG00000262616	NA
KRTAP2-1	ENSG00000261852	81872
KRTAP3-3	ENSG00000263101	85293
KRTAP2-3	ENSG00000262862	730755
KRTAP4-12	ENSG00000263236	83755
KRTAP1-4	ENSG00000263242	728255
KIR3DL3	ENSG00000277028	115653
	ENSG00000266286	100996750
KRTAP4-8	ENSG00000261968	728224
	ENSG00000281062	NA
	ENSG00000282480	NA
	ENSG00000282766	NA
MREGP1	ENSG00000282329	NA
KIR3DP1	ENSG00000277560	NA
	ENSG00000281496	NA
	ENSG00000275428	NA
KIR3DL2	ENSG00000275416	3812
ANKRD18DP	ENSG00000281617	348840
SPATC1L	ENSG00000274679	84221
KIR2DS4	ENSG00000275353	3809
U6	ENSG00000273752	NA
KIR2DL5A	ENSG00000278116	57292
	ENSG00000275500	102725023
	ENSG00000276938	NA
NCR1	ENSG00000277442	9437
KIR2DS1	ENSG00000276327	3806
	ENSG00000267237	NA
	ENSG00000281577	NA
	ENSG00000267639	NA
U6	ENSG00000274597	NA
	ENSG00000281503	NA
	ENSG00000282391	NA
RNU6-821P	ENSG00000274706	NA
KIR3DL2	ENSG00000278809	3812
U6	ENSG00000278747	NA
KIR2DL1	ENSG00000278495	3802
SINHCAF	ENSG00000276371	58516
	ENSG00000281232	NA
LILRP1	ENSG00000277921	NA
KIR2DL3	ENSG00000277554	3804
KIR2DL4	ENSG00000278074	3805
KIR2DL1	ENSG00000274692	3802
DHX36	ENSG00000281763	170506
KIR2DS3	ENSG00000277657	3808
KIR3DL3	ENSG00000275062	115653
KIR3DL3	ENSG00000275513	115653
	ENSG00000282388	NA
U6	ENSG00000277567	NA
	ENSG00000282551	NA
FLJ13224	ENSG00000282176	79857
NCR1	ENSG00000275637	9437
	ENSG00000282507	NA
	ENSG00000263322	NA
ARHGEF26	ENSG00000277101	26084
DSEL-AS1	ENSG00000282112	643542
DSEL	ENSG00000262102	92126
	ENSG00000277691	NA
	ENSG00000282220	NA
KIR3DL2	ENSG00000277982	3812
KIR2DP1	ENSG00000277375	NA
	ENSG00000273918	NA
AP2A2	ENSG00000280759	161
	ENSG00000279612	NA
KIR3DP1	ENSG00000275593	NA
KIR2DL1	ENSG00000276625	3802
	ENSG00000282606	284241
KIR2DS4	ENSG00000274957	3809
KIR2DL4	ENSG00000275317	3805
U6	ENSG00000278140	NA
	ENSG00000281949	NA
KIR3DL3	ENSG00000276328	115653
	ENSG00000282330	NA
	ENSG00000281995	NA
KIR2DP1	ENSG00000278614	NA
	ENSG00000281942	NA
GARRE1	ENSG00000279389	9710
KIR2DL4	ENSG00000278430	3805
CTDP1	ENSG00000282752	9150
LSM14A	ENSG00000262860	26065
	ENSG00000282233	NA
DLG5-AS1	ENSG00000282770	NA
	ENSG00000282690	NA
ARHGEF26-AS1	ENSG00000281157	100507524
KIR2DS2	ENSG00000274438	100132285
RN7SL284P	ENSG00000276516	NA
RNU6-1266P	ENSG00000276274	NA
KIR3DP1	ENSG00000274163	NA
LILRP2	ENSG00000274842	79166
KIR2DS4	ENSG00000276254	3809
KIR2DS4	ENSG00000274406	3809
U6	ENSG00000275671	NA
KIR2DL1	ENSG00000275276	3802
MUC6	ENSG00000277518	4588
PRB1	ENSG00000275517	653247
PRB1	ENSG00000275517	5542
KIR2DL3	ENSG00000275008	3804
KIR2DS3	ENSG00000275599	3808
LILRP1	ENSG00000273670	NA
KIR2DP1	ENSG00000274476	NA
	ENSG00000262113	NA
	ENSG00000277456	NA
KIR3DS1	ENSG00000274283	3813
KIR2DL4	ENSG00000278606	3805
RNU6-1025P	ENSG00000274980	NA
SBNO2	ENSG00000278788	22904
	ENSG00000274009	NA
KIR2DP1	ENSG00000274942	NA
KIR3DL1	ENSG00000273518	3811
ZNF965P	ENSG00000282352	NA
GXYLT1P1	ENSG00000282037	NA
CYP4F34P	ENSG00000282782	NA
CNN2P12	ENSG00000282611	NA
SNX18P26	ENSG00000282677	NA
LINC00328-2P	ENSG00000282536	NA
ANKRD20A9P	ENSG00000282715	NA
RNU6-55P	ENSG00000278853	NA
U6	ENSG00000252379	NA
Y_RNA	ENSG00000277428	NA
	ENSG00000276256	389831
U6	ENSG00000278063	NA
	ENSG00000263270	NA
KIR3DL3	ENSG00000276084	115653
CRIM1	ENSG00000277354	51232
KIR2DL2	ENSG00000277251	3803
SUDS3P1	ENSG00000281351	NA
	ENSG00000280559	NA
	ENSG00000280647	NA
RPL21P36	ENSG00000278476	NA
PROP1	ENSG00000274382	5626
CRIM1-DT	ENSG00000279215	NA
LILRP1	ENSG00000276307	NA
LILRP2	ENSG00000273883	79166
	ENSG00000281644	NA
	ENSG00000282753	NA
SEPTIN9-DT	ENSG00000282649	105371907
KIR2DL1	ENSG00000278821	3802
	ENSG00000278666	NA
SEPTIN9	ENSG00000282302	10801
LILRP2	ENSG00000277271	79166
	ENSG00000275247	NA
	ENSG00000277729	NA
KIR2DS4	ENSG00000275351	3809
KIR2DS1	ENSG00000278304	3806
KIR2DL1	ENSG00000277833	3802
	ENSG00000281254	NA
ABCB10P1	ENSG00000281173	NA
GOLGA8DP	ENSG00000278508	100132979
KIR2DL5A	ENSG00000276686	57292
KIR2DL4	ENSG00000278201	3805
KIR3DL1	ENSG00000278427	3811
	ENSG00000280971	NA
APOBEC3B-AS1	ENSG00000262679	100874530
	ENSG00000262536	NA
APOBEC3A	ENSG00000262156	100913187
APOBEC3A	ENSG00000262156	200315
KIR3DL2	ENSG00000278361	3812
TUBGCP5	ENSG00000280807	114791
SLC45A2	ENSG00000281919	51151
	ENSG00000274106	NA
KRT18P40	ENSG00000277976	NA
	ENSG00000279974	NA
KRTAP5-6	ENSG00000277389	440023
KIR2DL3	ENSG00000274402	3804
	ENSG00000262453	NA
ZNF430	ENSG00000278780	80264
KRTAP5-1	ENSG00000280585	387264
RXFP3	ENSG00000277069	51289
KRTAP5-4	ENSG00000278620	387267
GOLGA6L1	ENSG00000278247	283767
KIR3DP1	ENSG00000275255	NA
ADAMTS12	ENSG00000281690	81792
LILRP2	ENSG00000273528	79166
KIR3DL2	ENSG00000275262	3812
U6	ENSG00000277091	NA
KRTAP5-5	ENSG00000278302	439915
	ENSG00000278633	NA
	ENSG00000278066	NA
KIR3DL1	ENSG00000275486	3811
	ENSG00000274449	NA
FAM99A	ENSG00000281261	387742
	ENSG00000279318	NA
KRTAP5-2	ENSG00000278489	440021
	ENSG00000281737	NA
LINC02708	ENSG00000281633	NA
DECR2	ENSG00000274296	26063
ELMO2P1	ENSG00000281725	NA
KRTAP5-AS1	ENSG00000281176	338651
LINC02708	ENSG00000281240	NA
ZNF85	ENSG00000278091	7639
FAM99B	ENSG00000281783	100132464
	ENSG00000281111	NA
DUSP8	ENSG00000278165	1850
FAM99A	ENSG00000281733	387742
	ENSG00000281754	NA
	ENSG00000280490	NA
KRTAP5-3	ENSG00000275920	387266
Metazoa_SRP	ENSG00000277046	NA
KRTAP5-4	ENSG00000277068	387267
ELMO2P1	ENSG00000280500	NA
FAM99B	ENSG00000281829	100132464
	ENSG00000281149	NA
GOLGA8DP	ENSG00000278070	100132979
IFITM10	ENSG00000281618	402778
LINC01659	ENSG00000280986	101929374
KRTAP5-1	ENSG00000278210	387264
ZDHHC8P1	ENSG00000281076	NA
KRTAP5-3	ENSG00000281191	387266
LINC02549	ENSG00000280737	101928280
	ENSG00000281645	NA
KRTAP5-2	ENSG00000281533	440021
KRTAP5-5	ENSG00000277291	439915
U6	ENSG00000278230	NA
ABCB11	ENSG00000276582	8647
	ENSG00000275321	NA
	ENSG00000280679	NA
BNIP3P24	ENSG00000280428	NA
KRTAP5-AS1	ENSG00000281801	338651
	ENSG00000280030	NA
CES5AP1	ENSG00000280839	NA
	ENSG00000280784	NA
ZNF66	ENSG00000275050	7617
GNG5P1	ENSG00000280557	NA
CYFIP1	ENSG00000280618	23191
	ENSG00000280765	101929297
KIR3DL1	ENSG00000277175	3811
G6PC2	ENSG00000278373	57818
	ENSG00000280898	NA
RNU6-222P	ENSG00000277153	NA
DUSP8	ENSG00000273793	1850
	ENSG00000281374	NA
KIR3DL2	ENSG00000275083	3812
FAM230I	ENSG00000274657	388882
LINC02557	ENSG00000281077	NA
AADACL2	ENSG00000261846	344752
SPC25	ENSG00000277909	57405
KCNQ2-AS1	ENSG00000281651	NA
LINC02066	ENSG00000262411	NA
KIR2DS2	ENSG00000275253	100132285
	ENSG00000276565	NA
AADACL2-AS1	ENSG00000262466	NA
KIR3DL2	ENSG00000275626	3812
KCNQ2	ENSG00000281151	3785
GART	ENSG00000262473	2618
PTCHD3	ENSG00000276595	374308
	ENSG00000282201	NA
SLC25A51P1	ENSG00000281567	NA
ADH5P4	ENSG00000277364	NA
RAB11FIP3	ENSG00000275338	9727
NOSTRIN	ENSG00000275326	115677
	ENSG00000275336	NA
ODAD2P1	ENSG00000276777	NA
FAM210CP	ENSG00000273681	NA
	ENSG00000281012	NA
TRIAP1P1	ENSG00000278364	NA
U6	ENSG00000273501	NA
GOLGA6L1	ENSG00000275009	283767
U6	ENSG00000278036	NA
	ENSG00000281703	NA
	ENSG00000278019	NA
	ENSG00000280619	107987434
	ENSG00000280619	107987420
	ENSG00000281380	NA
SMN2	ENSG00000273772	6607
SMN2	ENSG00000273772	6606
ABCB10P1	ENSG00000280461	NA
RPS5P3	ENSG00000262148	NA
DNAJC28	ENSG00000262911	54943
	ENSG00000281513	NA
	ENSG00000281081	NA
TUBGCP5	ENSG00000276856	114791
	ENSG00000281464	NA
	ENSG00000281048	NA
	ENSG00000262892	NA
IFNGR2	ENSG00000262795	3460
	ENSG00000275495	NA
SKA1	ENSG00000262634	220134
KIR2DL4	ENSG00000278271	3805
	ENSG00000282429	NA
OR2AS2P	ENSG00000280815	NA
OR2T6	ENSG00000278659	254879
PAXBP1	ENSG00000263141	94104
	ENSG00000282378	NA
LINC00235	ENSG00000282485	NA
OR2T2	ENSG00000275754	401992
CAPN15	ENSG00000282214	6650
MAPK4	ENSG00000282110	5596
Y_RNA	ENSG00000274018	NA
OR2T4	ENSG00000275617	127074
	ENSG00000282085	NA
KCNIP4	ENSG00000281758	80333
	ENSG00000282443	NA
KIR2DS5	ENSG00000275047	3810
RNA5SP458	ENSG00000262132	NA
C21orf62	ENSG00000262938	56245
	ENSG00000281559	NA
OR2T7	ENSG00000281489	81458
KIR3DL2	ENSG00000275511	3812
	ENSG00000280838	105374516
SUDS3P1	ENSG00000274681	NA
OR2T1	ENSG00000273508	26696
PROP1	ENSG00000280635	5626
	ENSG00000281470	NA
C21orf62-AS1	ENSG00000263140	NA
OR2T3	ENSG00000277113	343173
	ENSG00000282464	NA
KIR3DL3	ENSG00000274763	115653
LRRC56	ENSG00000273831	115399
SNTG2	ENSG00000281486	54221
OR2T5	ENSG00000275102	401993
TMEM50B	ENSG00000263160	757
	ENSG00000280072	NA
	ENSG00000281658	NA
	ENSG00000281914	NA
	ENSG00000281425	NA
DLGAP2	ENSG00000282103	9228
CDH12P2	ENSG00000280638	NA
PMCHL2	ENSG00000280840	5370
LILRP2	ENSG00000276512	79166
	ENSG00000282347	NA
	ENSG00000282245	401442
	ENSG00000278562	NA
ERICH1	ENSG00000282665	157697
KIR3DL3	ENSG00000274254	115653
GTF2H2	ENSG00000276910	728340
GTF2H2	ENSG00000276910	2966
PHRF1	ENSG00000274780	57661
KIR2DL3	ENSG00000275623	3804
FRG1-DT	ENSG00000280716	728339
U6	ENSG00000277642	NA
LINC01596	ENSG00000281830	105377617
	ENSG00000281916	NA
RNU1-51P	ENSG00000276052	NA
	ENSG00000277400	NA
MAFIP	ENSG00000274847	727764
	ENSG00000274971	NA
KIR3DL3	ENSG00000276086	115653
	ENSG00000263314	NA
KIR2DS4	ENSG00000275731	3809
U1	ENSG00000277374	NA
GOLGA6L22	ENSG00000274404	440243
SNTB2	ENSG00000260873	6645
RPS6P22	ENSG00000262159	NA
	ENSG00000282734	286083
	ENSG00000281997	NA
LRIG3-DT	ENSG00000262592	NA
	ENSG00000282141	NA
	ENSG00000262036	NA
DLGAP2-AS1	ENSG00000282001	100507435
DLGAP2	ENSG00000282152	9228
	ENSG00000281537	NA
U1	ENSG00000275987	NA
GOLGA8EP	ENSG00000278429	390535
	ENSG00000280476	NA
	ENSG00000268674	NA
UTP4	ENSG00000262788	84916
	ENSG00000277475	NA
Metazoa_SRP	ENSG00000274040	NA
U1	ENSG00000275405	NA
	ENSG00000281953	NA
KIR2DS1	ENSG00000273603	3806
	ENSG00000281999	NA
KIR2DL5A	ENSG00000275596	57292
	ENSG00000276374	NA
HERC2P2	ENSG00000280787	NA
	ENSG00000278688	NA
	ENSG00000282044	NA
LILRP2	ENSG00000273922	79166
CNTNAP2	ENSG00000278728	26047
KIR3DS1	ENSG00000275608	3813
MAD2L1-DT	ENSG00000281122	NA
HERC2P7	ENSG00000281828	NA
SPATA31E3P	ENSG00000281846	NA
	ENSG00000281422	NA
GOLGA8IP	ENSG00000281356	283796
	ENSG00000273748	NA
	ENSG00000280700	NA
Metazoa_SRP	ENSG00000276062	NA
Metazoa_SRP	ENSG00000276377	NA
U3	ENSG00000277205	NA
Metazoa_SRP	ENSG00000274906	NA
Y_RNA	ENSG00000262354	NA
U6	ENSG00000262579	NA
OR8U9	ENSG00000281038	504190
OR8J2	ENSG00000263150	NA
FAM8A2P	ENSG00000281773	NA
	ENSG00000281819	NA
OR8U8	ENSG00000262315	504189
	ENSG00000280750	NA
OR8L1P	ENSG00000280577	NA
NDUFA6-DT	ENSG00000280613	NA
OR5T3	ENSG00000261897	390154
OR5T2	ENSG00000262851	219464
OR8K2P	ENSG00000280617	NA
OR8I1P	ENSG00000280712	NA
OR8K3	ENSG00000262755	219473
OR8H1	ENSG00000262611	219469
RPL4P5	ENSG00000263127	NA
ICE2P1	ENSG00000281800	NA
	ENSG00000282377	NA
	ENSG00000280821	NA
