ensembl	featureID	exonBaseMean	dispersion	stat	pvalue	padj	control	treated	log2fold_treated_control	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.9	countData.10	countData.11	countData.12	countData.13	countData.14	countData.15	countData.35	transcripts
ENSG00000116213	E030	10.73796834	0.01236485	32.97644621	9.33E-09	8.63E-05	3.17283114	7.034299286	2.301469065	chr1	3650027	3650058	32	-	5	6	29	12	17	0	3	16	"c(""ENST00000479331.1"", ""ENST00000378322.7"", ""ENST00000270708.11"", ""ENST00000419924.2"")"
ENSG00000139182	E004	37.95545664	0.00959617	33.01380627	9.15E-09	8.63E-05	7.869625396	12.29689025	1.297349927	chr12	7130485	7130579	95	+	26	23	87	41	57	16	25	34	ENST00000266546.10
ENSG00000150471	E003	129.7494494	0.00314227	32.91778666	9.61E-09	8.63E-05	16.66363116	21.07241425	0.694935816	chr4	61202142	61202231	90	+	109	114	208	121	143	102	108	148	ENST00000514591.5
ENSG00000151327	E007	28.00116817	0.005686997	32.80381656	1.02E-08	8.75E-05	6.744696835	10.57612579	1.305033201	chr14	35046453	35046504	52	+	13	23	55	36	40	21	9	30	"c(""ENST00000280987.8"", ""ENST00000554052.2"")"
ENSG00000111144	E039	112.9380613	0.001506133	32.38990257	1.26E-08	0.000102731	15.77360003	19.55031037	0.633505724	chr12	96035529	96035641	113	-	99	102	179	102	110	90	96	140	"c(""ENST00000228740.6"", ""ENST00000548852.5"")"
ENSG00000205356	E005	56.48256335	0.002667765	32.38069596	1.27E-08	0.000102731	14.4770284	10.70203834	-0.881861714	chr7	98216760	98216812	53	-	64	87	62	40	51	63	66	28	"c(""ENST00000447648.6"", ""ENST00000463402.5"", ""ENST00000485716.1"")"
ENSG00000011451	E001	53.73921218	0.002568581	31.61753596	1.88E-08	0.000127395	14.12546238	10.48011308	-0.870821465	chr19	15419980	15421507	1528	-	68	69	64	45	48	58	63	22	ENST00000263381.11
ENSG00000059122	E048	42.04489546	0.00353298	31.49774124	2.00E-08	0.000129479	12.79734669	9.139289646	-0.979914809	chr16	2949814	2951199	1386	+	48	63	51	38	29	55	35	25	"c(""ENST00000253928.13"", ""ENST00000416288.6"")"
ENSG00000167861	E007	32.60154976	0.003917577	31.28397607	2.23E-08	0.000138398	7.511283701	11.211318	1.163019106	chr17	74953545	74953651	107	-	18	23	64	37	47	20	20	35	"c(""ENST00000534480.5"", ""ENST00000425042.6"", ""ENST00000532395.5"")"
ENSG00000169738	E039	17.90504868	0.008514238	31.23213989	2.29E-08	0.000139182	4.946481175	8.812790472	1.672055684	chr17	82037014	82037088	75	-	8	14	42	26	17	7	7	25	"c(""ENST00000578273.5"", ""ENST00000585085.1"", ""ENST00000582613.5"", ""ENST00000579334.5"")"
ENSG00000127184	E008	28.15864647	0.007251791	30.92021154	2.69E-08	0.000156105	6.747952604	10.67409282	1.330461894	chr5	86618175	86618330	156	+	16	18	41	26	31	16	18	61	ENST00000510447.1
ENSG00000177084	E055	35.68852644	0.015737379	30.9661546	2.63E-08	0.000156105	7.339361385	12.18569712	1.472990375	chr12	132649353	132649365	13	-	20	23	92	49	46	14	23	24	"c(""ENST00000540987.1"", ""ENST00000503265.4"", ""ENST00000536445.5"", ""ENST00000535270.5"", ""ENST00000320574.9"", ""ENST00000537064.5"")"
ENSG00000077232	E003	72.33076494	0.008307503	30.72356849	2.98E-08	0.000161186	11.62655852	16.41005241	1.008556464	chr2	182716296	182716426	131	+	52	57	137	72	82	46	45	98	"c(""ENST00000264065.11"", ""ENST00000616986.4"", ""ENST00000491074.5"")"
ENSG00000140829	E053	123.8835508	0.001634762	30.71866064	2.98E-08	0.000161186	16.53943769	20.39962093	0.620378262	chr16	72110956	72111042	87	+	96	134	216	120	140	88	100	116	"c(""ENST00000567142.2"", ""ENST00000268482.7"", ""ENST00000567552.1"", ""ENST00000579387.5"")"
ENSG00000099991	E054	127.6404497	0.004188796	30.20561335	3.89E-08	0.000195502	16.32342695	20.94372346	0.737396645	chr22	24166639	24167222	584	+	101	129	231	124	155	78	88	135	"c(""ENST00000620406.1"", ""ENST00000398319.6"", ""ENST00000617531.4"", ""ENST00000263119.9"", ""ENST00000405822.6"", ""ENST00000337989.11"")"
ENSG00000119185	E042	15.24028908	0.039378265	29.67974925	5.10E-08	0.000243799	3.713596224	8.500433236	2.395663505	chr2	9423445	9423456	12	-	4	8	45	22	20	6	2	18	"c(""ENST00000463190.1"", ""ENST00000238091.8"", ""ENST00000355346.8"", ""ENST00000464228.5"", ""ENST00000490426.5"", ""ENST00000488451.5"", ""ENST00000483795.5"")"
ENSG00000031823	E007	95.02958842	0.003358215	29.59069714	5.34E-08	0.000251143	14.02833016	18.11766137	0.752057316	chr19	5917794	5917980	187	-	60	90	177	97	122	76	57	95	"c(""ENST00000591092.5"", ""ENST00000586344.5"", ""ENST00000034275.12"", ""ENST00000592771.5"", ""ENST00000439268.6"", ""ENST00000587479.2"", ""ENST00000340578.10"")"
ENSG00000071564	E007	167.7348134	0.004091979	29.45759246	5.72E-08	0.000264727	24.30862314	18.84302217	-0.759827716	chr19	1610965	1611055	91	-	189	236	227	125	161	183	151	102	"c(""ENST00000262965.9"", ""ENST00000585731.5"", ""ENST00000611869.4"", ""ENST00000344749.9"", ""ENST00000593064.5"")"
ENSG00000070756	E053	279.3943246	0.006918681	29.36652252	5.99E-08	0.000273129	23.8031804	30.434709	0.747028615	chr8	100721453	100721468	16	-	207	274	465	292	308	222	164	340	"c(""ENST00000520804.1"", ""ENST00000520142.1"", ""ENST00000523555.5"", ""ENST00000318607.9"", ""ENST00000522720.1"", ""ENST00000610907.1"", ""ENST00000517921.1"", ""ENST00000521865.5"", ""ENST00000521067.1"", ""ENST00000522387.5"")"
ENSG00000177084	E054	45.50575524	0.014192096	29.24811587	6.37E-08	0.000281958	8.601454466	13.53244177	1.319144525	chr12	132649321	132649352	32	-	27	30	114	60	60	23	30	27	"c(""ENST00000540987.1"", ""ENST00000536445.5"", ""ENST00000535270.5"", ""ENST00000320574.9"", ""ENST00000537064.5"")"
ENSG00000167702	E016	45.22694351	0.003066877	29.03433135	7.11E-08	0.000292113	9.290549658	12.74064133	0.919286813	chr8	144468536	144468624	89	+	25	39	120	50	66	24	27	21	ENST00000301332.2
ENSG00000196586	E002	13.57795298	0.024549045	29.06420845	7.00E-08	0.000292113	3.847233303	7.953271206	2.100613015	chr6	75749209	75749331	123	+	4	10	34	16	21	4	4	18	"c(""ENST00000369981.7"", ""ENST00000369985.8"")"
ENSG00000070756	E054	273.7779845	0.009117656	28.73678047	8.29E-08	0.000331435	23.18628273	30.42513145	0.824888074	chr8	100721469	100721508	40	-	194	268	470	291	316	209	151	328	"c(""ENST00000520804.1"", ""ENST00000520142.1"", ""ENST00000523555.5"", ""ENST00000519363.1"", ""ENST00000318607.9"", ""ENST00000522720.1"", ""ENST00000610907.1"", ""ENST00000517921.1"", ""ENST00000521865.5"", ""ENST00000521067.1"", ""ENST00000522387.5"")"
ENSG00000072364	E033	95.56420912	0.002410963	28.58646456	8.96E-08	0.000347713	14.37262476	18.03191808	0.667041782	chr5	132963259	132963513	255	-	75	84	144	93	111	86	66	115	"c(""ENST00000265343.9"", ""ENST00000378595.7"", ""ENST00000491831.5"", ""ENST00000465484.1"")"
ENSG00000130522	E004	171.6136835	0.014856849	28.58110619	8.99E-08	0.000347713	17.71701756	24.4549704	0.960053803	chr19	18280456	18280929	474	-	93	165	374	175	211	111	68	211	"c(""ENST00000600972.1"", ""ENST00000252818.4"")"
ENSG00000177084	E052	88.04295396	0.001706779	28.55694732	9.10E-08	0.000347713	13.84985925	17.31359945	0.655526654	chr12	132648929	132649072	144	-	90	72	155	94	111	66	60	67	"c(""ENST00000320574.9"", ""ENST00000535270.5"", ""ENST00000540987.1"", ""ENST00000537064.5"")"
ENSG00000070756	E055	210.3572845	0.012898948	28.35105656	1.01E-07	0.000354249	19.77037929	27.3203656	0.970834548	chr8	100721509	100721566	58	-	127	196	386	238	254	155	113	241	"c(""ENST00000520804.1"", ""ENST00000520142.1"", ""ENST00000523555.5"", ""ENST00000519363.1"", ""ENST00000318607.9"", ""ENST00000522720.1"", ""ENST00000517921.1"", ""ENST00000521865.5"", ""ENST00000521067.1"", ""ENST00000522387.5"")"
ENSG00000140548	E005	123.5581069	0.001821227	28.29587841	1.04E-07	0.000354249	16.5250477	20.20906437	0.595041216	chr15	90068014	90068305	292	+	101	114	267	125	145	92	83	86	"c(""ENST00000268154.8"", ""ENST00000558883.1"")"
ENSG00000146830	E004	94.37210367	0.001614382	28.29719694	1.04E-07	0.000354249	14.2252775	17.56241391	0.619327357	chr7	100682322	100682482	161	-	58	74	237	110	111	66	64	54	ENST00000275732.5
ENSG00000148204	E003	146.1193902	0.006321994	28.323583	1.03E-07	0.000354249	17.2926688	22.0143018	0.716219482	chr9	123362865	123363188	324	+	85	121	387	158	197	94	103	57	"c(""ENST00000359999.7"", ""ENST00000373631.7"")"
ENSG00000151693	E025	62.31935327	0.003107355	28.26776333	1.06E-07	0.000354329	11.29793065	14.94128796	0.816650103	chr2	9391062	9391196	135	+	50	64	102	53	80	39	37	83	ENST00000281419.7
ENSG00000168958	E016	94.71962823	0.002020269	28.01077445	1.21E-07	0.000391156	14.38344103	17.92296578	0.64693582	chr2	227325365	227325427	63	+	75	94	150	99	94	83	58	117	"c(""ENST00000460756.5"", ""ENST00000354503.10"", ""ENST00000409616.5"", ""ENST00000409565.5"", ""ENST00000489696.5"", ""ENST00000476924.5"", ""ENST00000353339.7"", ""ENST00000470090.5"", ""ENST00000349901.11"", ""ENST00000423098.5"", ""ENST00000304593.13"", ""ENST00000452930.5"", ""ENST00000524634.5"", ""ENST00000525195.5"", ""ENST00000531278.5"", ""ENST00000530359.5"", ""ENST00000534203.5"", ""ENST00000436237.5"", ""ENST00000337110.11"")"
ENSG00000108557	E005	59.10654978	0.003089638	27.92037301	1.26E-07	0.000405359	14.70024411	11.17739988	-0.800198496	chr17	17683704	17685050	1347	+	61	88	75	52	43	67	60	37	ENST00000489697.1
ENSG00000131446	E013	63.72669499	0.004358371	27.81648397	1.33E-07	0.000418521	11.20927887	14.82051007	0.815791914	chr5	180792870	180793061	192	-	34	53	138	74	78	33	46	63	"c(""ENST00000333055.7"", ""ENST00000514438.1"", ""ENST00000506889.1"", ""ENST00000446023.6"", ""ENST00000514283.1"", ""ENST00000427865.2"", ""ENST00000513431.5"", ""ENST00000506269.1"", ""ENST00000307826.4"", ""ENST00000502678.1"", ""ENST00000507384.1"", ""ENST00000512695.1"", ""ENST00000504671.1"", ""ENST00000393340.7"")"
ENSG00000119969	E006	49.77941457	0.002658314	27.75176231	1.38E-07	0.000419236	10.03163781	13.50454458	0.866465424	chr10	94545922	94545952	31	+	40	40	86	54	61	37	40	45	"c(""ENST00000630929.2"", ""ENST00000394036.5"", ""ENST00000348459.9"", ""ENST00000394045.5"")"
ENSG00000163541	E026	25.99012294	0.015419662	27.76891466	1.37E-07	0.000419236	6.347918383	10.49184484	1.457251731	chr2	84459262	84459480	219	-	12	21	49	33	36	15	15	29	ENST00000393868.6
ENSG00000120802	E008	61.77993832	0.010980675	27.65654806	1.45E-07	0.000431399	10.62687827	15.42442662	1.088278433	chr12	98515815	98515851	37	+	36	61	129	72	63	39	37	68	"c(""ENST00000556029.5"", ""ENST00000393053.6"", ""ENST00000266732.8"", ""ENST00000343315.9"")"
ENSG00000182095	E017	29.43127471	0.007912767	27.60428815	1.49E-07	0.000436093	6.634988649	10.44289081	1.315630603	chr7	5324222	5324246	25	-	14	16	99	36	39	11	12	17	"c(""ENST00000455076.1"", ""ENST00000399537.8"", ""ENST00000430969.5"")"
ENSG00000183495	E053	13.52647082	0.024605931	27.5203305	1.55E-07	0.000444723	3.742534216	7.796169258	2.122480019	chr12	132055099	132055208	110	+	2	4	32	25	21	7	7	10	"c(""ENST00000389561.6"", ""ENST00000389562.6"")"
ENSG00000106789	E001	30.52700041	0.006485966	27.39813968	1.66E-07	0.000460193	10.40433418	7.93929427	-0.785015054	chr9	98120975	98124905	3931	-	31	53	30	19	29	48	30	10	"c(""ENST00000375077.4"", ""ENST00000343933.9"")"
ENSG00000165650	E011	83.17104015	0.00167808	27.41126584	1.64E-07	0.000460193	13.53189397	16.69588696	0.616412236	chr10	117374482	117375467	986	-	66	82	122	86	94	57	65	101	ENST00000334464.6
ENSG00000263001	E044	35.00690611	0.013623018	27.35952022	1.69E-07	0.000465047	11.67541297	7.328996264	-1.352359537	chr7	74744758	74744941	184	+	71	50	17	18	18	61	33	18	"c(""ENST00000438130.6"", ""ENST00000573035.5"", ""ENST00000621734.4"", ""ENST00000473333.1"", ""ENST00000620879.4"", ""ENST00000620631.4"", ""ENST00000614986.4"")"
ENSG00000162910	E007	77.40175083	0.003155846	27.25096687	1.79E-07	0.000487304	12.58622653	16.11669203	0.724182021	chr1	228107824	228107869	46	-	43	71	194	100	76	50	40	62	"c(""ENST00000464148.2"", ""ENST00000411464.3"", ""ENST00000459783.5"", ""ENST00000366731.9"", ""ENST00000336300.9"", ""ENST00000366732.5"", ""ENST00000391867.7"", ""ENST00000348259.9"", ""ENST00000366739.5"", ""ENST00000366735.5"", ""ENST00000366742.5"", ""ENST00000366734.5"", ""ENST00000366744.5"", ""ENST00000465268.1"", ""ENST00000457264.5"", ""ENST00000366736.5"", ""ENST00000366738.5"", ""ENST00000366733.5"", ""ENST00000430433.5"", ""ENST00000366740.5"", ""ENST00000295008.8"", ""ENST00000366746.7"", ""ENST00000366747.7"", ""ENST00000336520.7"", "
ENST00000497758																							
ENSG00000171649	E006	32.44836953	0.005079978	27.2278211	1.81E-07	0.000488607	7.662815885	11.17253795	1.095053851	chr19	57584260	57584389	130	+	20	23	61	42	39	22	23	32	"c(""ENST00000598689.1"", ""ENST00000597850.1"", ""ENST00000536878.6"", ""ENST00000307468.4"", ""ENST00000599456.1"", ""ENST00000597219.1"")"
ENSG00000167552	E017	193.7378197	0.004665258	27.19819177	1.84E-07	0.0004916	20.47006399	25.37302711	0.64331943	chr12	49188889	49188899	11	-	173	217	321	185	206	138	126	216	"c(""ENST00000295766.9"", ""ENST00000552924.1"")"
ENSG00000114019	E024	144.7032674	0.003598656	27.0958406	1.94E-07	0.000507221	17.55639861	21.58840111	0.613237942	chr3	134371190	134371312	123	-	90	122	320	146	155	104	90	159	"c(""ENST00000505596.1"", ""ENST00000513145.1"", ""ENST00000511759.1"", ""ENST00000515172.1"", ""ENST00000249883.9"", ""ENST00000422605.6"", ""ENST00000504234.1"", ""ENST00000506107.1"", ""ENST00000514516.5"", ""ENST00000510560.1"")"
ENSG00000167552	E016	301.5441702	0.004474288	27.08257994	1.95E-07	0.000507221	25.59780131	31.02339453	0.587016403	chr12	49188417	49188888	472	-	261	359	487	288	305	217	205	341	ENST00000295766.9
ENSG00000130635	E043	62.98158286	0.004258115	26.42783962	2.74E-07	0.000643783	11.17393959	14.7346623	0.807955467	chr9	134798408	134798461	54	+	32	55	170	64	95	36	39	28	"c(""ENST00000618395.4"", ""ENST00000371817.7"")"
ENSG00000183751	E024	114.6832631	0.0034725	26.34073055	2.86E-07	0.000662791	20.17802879	15.73512176	-0.734510516	chr16	1976814	1976961	148	+	106	179	150	104	102	102	107	87	"c(""ENST00000615855.4"", ""ENST00000569792.5"", ""ENST00000332704.5"", ""ENST00000564171.1"", ""ENST00000569628.5"", ""ENST00000568546.5"")"
ENSG00000101294	E004	13.92214999	0.031912624	26.23930859	3.02E-07	0.000683149	3.811427972	7.961552767	2.130638593	chr20	31514521	31514620	100	+	1	6	34	23	20	7	7	14	"c(""ENST00000498035.5"", ""ENST00000496438.5"", ""ENST00000340852.9"", ""ENST00000398174.7"", ""ENST00000344042.5"", ""ENST00000335574.9"")"
ENSG00000130294	E074	114.4706363	0.001659349	26.23686071	3.02E-07	0.000683149	15.85054298	19.37288957	0.592170536	chr2	240820122	240820220	99	-	87	114	225	140	123	87	61	97	"c(""ENST00000320389.11"", ""ENST00000498729.6"")"
ENSG00000160360	E008	58.92910249	0.014447311	26.14679492	3.16E-07	0.000701249	9.449817709	14.29432099	1.206395261	chr9	136339707	136339815	109	+	21	32	224	62	64	32	16	44	"c(""ENST00000440944.5"", ""ENST00000616132.4"", ""ENST00000354753.6"")"
ENSG00000224078	E028	99.29279459	0.005880003	25.99016892	3.43E-07	0.000736296	14.28022669	18.59711789	0.777179375	chr15	25064771	25064855	85	+	62	87	160	101	107	74	79	134	"c(""ENST00000549804.6"", ""ENST00000551077.1"")"
ENSG00000117598	E010	19.20140036	0.008488522	25.95538669	3.49E-07	0.0007414	5.545655162	9.014909687	1.407287267	chr1	99004485	99004893	409	-	11	14	36	20	36	11	13	14	"c(""ENST00000263177.4"", ""ENST00000370188.7"")"
ENSG00000032389	E032	17.0193509	0.023194895	25.80433601	3.78E-07	0.000781955	4.540474593	8.619739915	1.855317603	chr2	3377789	3377790	2	-	7	9	50	22	18	6	7	21	"c(""ENST00000441271.1"", ""ENST00000443925.6"", ""ENST00000382125.8"", ""ENST00000444776.1"", ""ENST00000398659.8"", ""ENST00000406835.6"")"
ENSG00000104936	E020	65.69524552	0.002498974	25.75848436	3.87E-07	0.000789554	11.64519829	15.01319937	0.742532244	chr19	45771771	45771928	158	-	36	54	160	76	85	51	42	34	"c(""ENST00000458663.6"", ""ENST00000447742.6"", ""ENST00000597660.1"", ""ENST00000343373.8"", ""ENST00000600370.1"", ""ENST00000596686.5"", ""ENST00000291270.8"", ""ENST00000354227.9"", ""ENST00000588522.5"", ""ENST00000600757.5"", ""ENST00000618091.4"")"
ENSG00000105287	E038	18.13334338	0.008674226	25.76831334	3.85E-07	0.000789554	5.176252852	8.576606201	1.461975873	chr19	46710907	46711038	132	-	10	14	39	19	30	10	3	23	"c(""ENST00000601605.5"", ""ENST00000600194.5"", ""ENST00000601806.5"", ""ENST00000595132.5"", ""ENST00000597641.1"", ""ENST00000595515.5"", ""ENST00000433867.5"", ""ENST00000291281.8"", ""ENST00000598633.1"", ""ENST00000597088.1"")"
ENSG00000105656	E012	10.62837514	0.012755937	25.68362858	4.02E-07	0.000809459	3.309133233	6.699815823	2.038950064	chr19	18451552	18451648	97	-	6	2	34	17	14	4	2	8	"c(""ENST00000262809.8"", ""ENST00000594635.6"", ""ENST00000596124.3"")"
ENSG00000161847	E014	19.41072505	0.007814759	25.65711945	4.08E-07	0.000815035	9.231825731	5.829126907	-1.332127166	chr19	10321619	10322644	1026	-	22	31	27	9	13	18	28	12	ENST00000592208.5
ENSG00000152402	E011	38.8119155	0.006060005	25.57976678	4.24E-07	0.000842599	8.583059661	11.9939788	0.972958022	chr11	106986070	106986131	62	-	27	22	47	47	48	30	33	55	"c(""ENST00000347596.2"", ""ENST00000282249.6"", ""ENST00000526355.6"")"
ENSG00000167470	E013	35.4489174	0.004015542	25.49750413	4.43E-07	0.000864095	8.069244951	11.16528016	0.943362991	chr19	1254431	1254478	48	+	21	19	75	52	50	28	16	25	"c(""ENST00000591446.6"", ""ENST00000300952.6"")"
ENSG00000179314	E021	48.77469499	0.005016975	25.47985324	4.47E-07	0.000864095	9.687693228	12.94299536	0.843726071	chr17	6080795	6080920	126	+	27	33	101	52	69	28	32	54	"c(""ENST00000574946.5"", ""ENST00000571494.1"", ""ENST00000539421.1"", ""ENST00000576083.5"", ""ENST00000574232.5"", ""ENST00000571973.1"", ""ENST00000317744.9"")"
ENSG00000165915	E016	56.36098133	0.00268395	25.41791908	4.62E-07	0.000880397	10.65823134	14.02797218	0.801518689	chr11	47412394	47412467	74	+	32	50	125	63	73	31	42	44	"c(""ENST00000531419.5"", ""ENST00000362021.8"", ""ENST00000531865.5"", ""ENST00000524928.1"", ""ENST00000354884.8"", ""ENST00000529740.1"", ""ENST00000533076.5"", ""ENST00000526614.5"")"
ENSG00000184402	E007	101.4240929	0.009406014	25.41905787	4.61E-07	0.000880397	14.31334349	18.50826066	0.756226193	chr20	62161436	62161580	145	+	58	100	261	98	120	63	51	88	"c(""ENST00000331758.7"", ""ENST00000370848.8"", ""ENST00000450482.5"")"
ENSG00000125841	E015	118.5573491	0.003290706	25.29812577	4.91E-07	0.000922532	16.05370946	19.62222326	0.592662467	chr20	353307	353438	132	+	88	101	238	125	128	85	74	129	"c(""ENST00000470439.5"", ""ENST00000382291.7"", ""ENST00000492242.5"", ""ENST00000382285.6"", ""ENST00000621012.1"")"
ENSG00000167552	E018	223.958001	0.006064287	25.25360144	5.03E-07	0.000928342	21.83734551	27.25822137	0.667888629	chr12	49188900	49188976	77	-	195	239	370	203	232	155	158	276	ENST00000552924.1
ENSG00000162664	E005	69.73199514	0.001677317	25.16720707	5.26E-07	0.000954382	12.28756621	15.34937834	0.6509512	chr1	89998110	89998154	45	+	50	65	111	70	81	59	41	89	"c(""ENST00000340281.8"", ""ENST00000361911.9"", ""ENST00000370447.3"", ""ENST00000394583.7"")"
ENSG00000177084	E053	46.80803903	0.007370211	25.16728358	5.26E-07	0.000954382	9.385035877	13.25492413	1.005504187	chr12	132649306	132649320	15	-	32	32	102	56	62	28	39	29	"c(""ENST00000320574.9"", ""ENST00000535270.5"", ""ENST00000540987.1"", ""ENST00000537064.5"")"
ENSG00000197530	E022	33.88069552	0.014150662	25.1417925	5.33E-07	0.000959463	12.04904282	7.698023145	-1.301856799	chr1	1617408	1617515	108	+	45	49	45	29	22	48	32	8	"c(""ENST00000477990.1"", ""ENST00000503789.5"", ""ENST00000507082.1"")"
ENSG00000146830	E003	100.2672713	0.003347298	25.05859157	5.56E-07	0.00098955	14.56795145	18.14907664	0.646628473	chr7	100682072	100682235	164	-	68	81	266	110	112	54	72	63	ENST00000275732.5
ENSG00000147601	E003	69.82680931	0.00350175	24.97472451	5.81E-07	0.001014975	12.06000808	15.52909958	0.739653838	chr8	73008908	73009205	298	+	54	60	128	69	81	38	54	84	"c(""ENST00000276603.9"", ""ENST00000518695.2"", ""ENST00000518874.5"", ""ENST00000276602.10"")"
ENSG00000073169	E006	61.15650024	0.00208425	24.96144112	5.85E-07	0.001015909	10.98585815	14.1087732	0.730219155	chr22	50210181	50210311	131	+	20	46	158	64	82	40	35	57	"c(""ENST00000611222.1"", ""ENST00000492092.1"", ""ENST00000380903.6"")"
ENSG00000112312	E004	96.16021874	0.005279242	24.85976471	6.17E-07	0.001052139	14.23375361	18.18239828	0.720035538	chr6	24775113	24775244	132	+	63	95	138	119	104	78	69	109	ENST00000230056.7
ENSG00000160963	E008	39.91517125	0.011764683	24.82191431	6.29E-07	0.001066764	8.193466575	12.21952422	1.162025834	chr7	101543998	101544096	99	+	17	30	103	58	59	19	24	15	"c(""ENST00000613501.1"", ""ENST00000313669.11"")"
ENSG00000165671	E005	32.61485558	0.004067028	24.80783024	6.33E-07	0.001068375	7.800650962	11.07450262	1.017725222	chr5	177133925	177133952	28	+	29	16	45	36	40	20	27	48	"c(""ENST00000602285.1"", ""ENST00000439151.6"")"
ENSG00000131149	E013	34.53455457	0.009521416	24.62779744	6.95E-07	0.001154319	7.811446478	11.57020858	1.141256404	chr16	85656343	85656665	323	+	21	28	87	38	42	22	17	29	"c(""ENST00000412692.5"", ""ENST00000253458.11"", ""ENST00000405402.6"", ""ENST00000393243.5"")"
ENSG00000166685	E005	13.35809542	0.012098676	24.59594977	7.07E-07	0.00115903	4.196999933	7.564885156	1.70413722	chr17	73193093	73193384	292	+	8	6	16	18	18	6	6	28	"c(""ENST00000618996.4"", ""ENST00000438720.7"", ""ENST00000582587.2"", ""ENST00000299886.8"")"
ENSG00000133275	E036	156.2532316	0.003114802	24.5691822	7.17E-07	0.001168677	18.24557756	22.31961409	0.599029558	chr19	1980668	1981338	671	+	87	158	380	181	187	104	82	106	ENST00000255641.12
ENSG00000071626	E021	63.60563931	0.010679645	24.45325683	7.61E-07	0.001209145	10.78034244	15.43245021	1.048085574	chr19	1429967	1429996	30	+	33	54	164	73	72	40	40	47	"c(""ENST00000592522.5"", ""ENST00000233078.8"", ""ENST00000585485.2"", ""ENST00000587079.5"", ""ENST00000336761.10"", ""ENST00000589484.5"", ""ENST00000592453.2"")"
